feature,pearson,spearman
delta_cycles,0.602186692829552,0.35692327836567794
delta_instructions,0.21488602484822136,0.31330849660884147
delta_branch_instructions,0.2165599799000645,0.309489494191257
syscall_class_other,-0.1063716834897034,0.24835215952630962
syscall_count,-0.10703531400459732,0.20141983609393238
syscall_class_file,-0.005616033454377459,0.17420367515704283
delta_io_bytes,-0.13212637846004166,0.17076642146802198
syscall_class_network,0.2254277385192794,0.12844274230834235
delta_cpu_ns,0.49668637920587405,0.08796034212505653
syscall_class_process,-0.0532449513812235,0.07327866023398762
syscall_class_time,0.030766458554060714,0.02164390209854464
syscall_class_memory,0.0473272936560855,0.015385593829612923
delta_rss_memory,-0.0027811306736121523,-0.02159204255756785
syscall_class_sched,-0.0070839319669943985,-0.04239608811433977
delta_net_send_bytes,-0.18570673213509004,-0.049165705311402255
syscall_class_signal,0.046902361892622986,-0.0795614432737092
delta_cache_misses,-0.33065442165243814,-0.21683647169564066
context_switches,,
