task_id	native_id	process	tag	status	submit	start	complete	duration	realtime	%cpu	peak_rss	workdir
2	3151155	NFCORE_SAREK:PREPARE_GENOME:UNZIP_LOCI	G1000_loci_hg38.zip	COMPLETED	1779446104542	1779446104637	1779446105647	1105	1000	98.7	6549504	/home/niklas/CrossPlatformEnergyAccounting/workload/daw/work/db/c97916313e932e0865f8476231aeae
6	3151306	NFCORE_SAREK:PREPARE_GENOME:UNZIP_ALLELES	G1000_alleles_hg38.zip	COMPLETED	1779446104649	1779446104737	1779446105767	1118	1000	91.3	6447104	/home/niklas/CrossPlatformEnergyAccounting/workload/daw/work/aa/1d32d23db64a946b3a700364bc36aa
4	3150943	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_COMBINED	S07604624_Padded_Agilent_SureSelectXT_allexons_V6_UTR	COMPLETED	1779446104395	1779446104441	1779446105916	1521	726	115.1	6463488	/home/niklas/CrossPlatformEnergyAccounting/workload/daw/work/44/c87cf50b5dbcc0e8080a17b2af7716
1	3150960	NFCORE_SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED	S07604624_Padded_Agilent_SureSelectXT_allexons_V6_UTR.bed	COMPLETED	1779446104404	1779446104442	1779446106888	2484	2000	101.1	6926336	/home/niklas/CrossPlatformEnergyAccounting/workload/daw/work/18/8601fc759ef1a2db7d7f802dfed74d
5	3152385	NFCORE_SAREK:PREPARE_GENOME:UNZIP_GC	GC_G1000_hg38.zip	COMPLETED	1779446106908	1779446106989	1779446110267	3359	2000	100.4	10854400	/home/niklas/CrossPlatformEnergyAccounting/workload/daw/work/45/ea159efb0b8285109a410a16be3620
10	3153370	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT	chr17_38877931-38878296	COMPLETED	1779446110366	1779446110468	1779446111420	1054	147	106.9	6664192	/home/niklas/CrossPlatformEnergyAccounting/workload/daw/work/ed/55c5130ae02e1f4c75141d41949f7f
3	3152623	NFCORE_SAREK:PREPARE_GENOME:UNZIP_RT	RT_G1000_hg38.zip	COMPLETED	1779446107797	1779446107890	1779446111517	3720	2000	101.1	11227136	/home/niklas/CrossPlatformEnergyAccounting/workload/daw/work/2d/61db81821f4622ef71d3d9a07af72b
9	3153360	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT	chr1_11981-12351	COMPLETED	1779446110360	1779446110367	1779446111706	1346	549	113.2	6610944	/home/niklas/CrossPlatformEnergyAccounting/workload/daw/work/f1/e8f53e6b2a778dd2d3002aaf1a972a
7	3150933	NFCORE_SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_ANTITARGET	intervals	COMPLETED	1779446104377	1779446104437	1779446116178	11801	11000	147.0	397463552	/home/niklas/CrossPlatformEnergyAccounting/workload/daw/work/e6/18fbe2c89dcb3eaf10c5139eb46f19
8	3154620	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_SOMATIC_ALL:BAM_VARIANT_CALLING_SOMATIC_MUSE:TABIX_MUSE	dbsnp	COMPLETED	1779446253671	1779446253717	1779446306913	53242	52301	190.5	21266432	/home/niklas/CrossPlatformEnergyAccounting/workload/daw/work/a2/6e29d24d9024c3eb39dc8f47b4c048
11	3155335	NFCORE_SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_REFERENCE	Homo_sapiens_assembly38.fasta	COMPLETED	1779446264857	1779446264935	1779446327487	62630	62000	109.9	418447360	/home/niklas/CrossPlatformEnergyAccounting/workload/daw/work/67/ccf9d87d18b453700126ffb18feb71
12	3158278	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:FASTP	HCC1395N-1	COMPLETED	1779447000980	1779447001047	1779447160044	159064	158126	989.2	1417629696	/home/niklas/CrossPlatformEnergyAccounting/workload/daw/work/a6/e21cf2723cdbfdc4e69905204d1a2c
38	3175426	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:FASTQ_ALIGN:BWAMEM1_MEM	HCC1395N	COMPLETED	1779447305235	1779447305332	1779447425405	120170	119552	2292.8	12073250816	/home/niklas/CrossPlatformEnergyAccounting/workload/daw/work/7f/e61dd2044d28d0bec3c567c7f0081c
