segment_id	type	pipeline	start	stop	status	path	idle_seconds
ampliseq-r2-20260526T022424Z	pipeline	nf-core/ampliseq	2026-05-26T02:24:24Z	2026-05-26T04:01:51Z	ok	/home/niklas/CrossPlatformEnergyAccounting/workload/daw/runs/nfcore-20260520T150931Z/segments/ampliseq-r2-20260526T022424Z	
stress-after-4-rep2	stress	__stress__	2026-05-26T04:01:52Z	2026-05-26T04:04:52Z	ok	/home/niklas/CrossPlatformEnergyAccounting/workload/daw/runs/nfcore-20260520T150931Z/segments/stress-after-4-rep2	
idle-after-stress-4-rep2	idle	__idle__	2026-05-26T04:04:52Z	2026-05-26T04:05:02Z	ok	/home/niklas/CrossPlatformEnergyAccounting/workload/daw/runs/nfcore-20260520T150931Z/segments/idle-after-stress-4-rep2	10
scnanoseq-r1-20260526T040502Z	pipeline	nf-core/scnanoseq	2026-05-26T04:05:02Z	2026-05-26T05:20:47Z	ok	/home/niklas/CrossPlatformEnergyAccounting/workload/daw/runs/nfcore-20260520T150931Z/segments/scnanoseq-r1-20260526T040502Z	
stress-after-5-rep1	stress	__stress__	2026-05-26T05:21:02Z	2026-05-26T05:24:02Z	ok	/home/niklas/CrossPlatformEnergyAccounting/workload/daw/runs/nfcore-20260520T150931Z/segments/stress-after-5-rep1	
idle-after-stress-5-rep1	idle	__idle__	2026-05-26T05:24:02Z	2026-05-26T05:24:12Z	ok	/home/niklas/CrossPlatformEnergyAccounting/workload/daw/runs/nfcore-20260520T150931Z/segments/idle-after-stress-5-rep1	10
scnanoseq-r2-20260526T052412Z	pipeline	nf-core/scnanoseq	2026-05-26T05:24:12Z	2026-05-26T06:31:18Z	ok	/home/niklas/CrossPlatformEnergyAccounting/workload/daw/runs/nfcore-20260520T150931Z/segments/scnanoseq-r2-20260526T052412Z	
stress-after-5-rep2	stress	__stress__	2026-05-26T06:31:33Z	2026-05-26T06:34:33Z	ok	/home/niklas/CrossPlatformEnergyAccounting/workload/daw/runs/nfcore-20260520T150931Z/segments/stress-after-5-rep2	
idle-after-stress-5-rep2	idle	__idle__	2026-05-26T06:34:33Z	2026-05-26T06:34:43Z	ok	/home/niklas/CrossPlatformEnergyAccounting/workload/daw/runs/nfcore-20260520T150931Z/segments/idle-after-stress-5-rep2	10
fetchngs-r1-20260526T063443Z	pipeline	nf-core/fetchngs	2026-05-26T06:34:43Z	2026-05-26T08:30:25Z	ok	/home/niklas/CrossPlatformEnergyAccounting/workload/daw/runs/nfcore-20260520T150931Z/segments/fetchngs-r1-20260526T063443Z	
stress-after-6-rep1	stress	__stress__	2026-05-26T08:30:53Z	2026-05-26T08:33:54Z	ok	/home/niklas/CrossPlatformEnergyAccounting/workload/daw/runs/nfcore-20260520T150931Z/segments/stress-after-6-rep1	
idle-after-stress-6-rep1	idle	__idle__	2026-05-26T08:33:54Z	2026-05-26T08:34:04Z	ok	/home/niklas/CrossPlatformEnergyAccounting/workload/daw/runs/nfcore-20260520T150931Z/segments/idle-after-stress-6-rep1	10
fetchngs-r2-20260526T083404Z	pipeline	nf-core/fetchngs	2026-05-26T08:34:04Z	2026-05-26T09:58:40Z	ok	/home/niklas/CrossPlatformEnergyAccounting/workload/daw/runs/nfcore-20260520T150931Z/segments/fetchngs-r2-20260526T083404Z	
idle-before-final-stress	idle	__idle__	2026-05-26T09:59:04Z	2026-05-26T09:59:14Z	ok	/home/niklas/CrossPlatformEnergyAccounting/workload/daw/runs/nfcore-20260520T150931Z/segments/idle-before-final-stress	10
stress-after	stress	__stress__	2026-05-26T09:59:14Z	2026-05-26T10:02:14Z	ok	/home/niklas/CrossPlatformEnergyAccounting/workload/daw/runs/nfcore-20260520T150931Z/segments/stress-after	
idle-after	idle	__idle__	2026-05-26T10:02:14Z	2026-05-26T10:03:14Z	ok	/home/niklas/CrossPlatformEnergyAccounting/workload/daw/runs/nfcore-20260520T150931Z/segments/idle-after	60
