feature_1,feature_2,correlation
delta_cpu_ns,delta_cycles,0.9703528378264791
delta_cpu_time_psutil,delta_cycles,0.9667736793065742
delta_cpu_ns,delta_cpu_time_psutil,0.9487428022597991
