penalty,delta_cpu_ns,delta_cycles,delta_instructions,delta_cache_misses,delta_branch_instructions,delta_io_bytes,delta_net_send_bytes,context_switches,syscall_count,delta_rss_memory,syscall_class_file,syscall_class_network,syscall_class_memory,syscall_class_process,syscall_class_other,syscall_class_sched,syscall_class_signal,syscall_class_time
0.001,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.92,1.0,0.0,0.1,0.24
0.0013699782540294108,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.88,1.0,0.0,0.1,0.22
0.0018768404165134748,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.88,1.0,0.0,0.1,0.22
0.0025712305569069623,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.88,1.0,0.0,0.1,0.2
0.0035225299490584732,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.88,1.0,0.0,0.1,0.2
0.004825789429377437,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.88,1.0,0.0,0.1,0.2
0.006611226576772087,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.86,1.0,0.0,0.1,0.22
0.009057236642639072,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.92,1.0,0.0,0.1,0.22
0.012408217242013879,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.92,1.0,0.0,0.1,0.2
0.01699898779283181,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.9,1.0,0.0,0.1,0.22
0.023288243616691007,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.88,1.0,0.0,0.1,0.24
0.03190438732940591,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.86,1.0,0.0,0.1,0.22
0.043708316849417596,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.88,1.0,0.0,0.1,0.18
0.059879443603929425,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.9,1.0,0.0,0.1,0.18
0.0820335356007638,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.92,1.0,0.0,0.1,0.18
0.11238415987419402,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.88,1.0,0.0,0.1,0.24
0.15396385512501048,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.92,1.0,0.0,0.1,0.24
0.21092713342779904,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.88,1.0,0.0,0.1,0.24
0.288965585980845,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.86,1.0,0.0,0.1,0.24
0.3958765689566236,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.86,1.0,0.0,0.1,0.24
0.5423422907503493,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.88,1.0,0.0,0.1,0.22
0.7429971445684748,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.9,1.0,0.0,0.1,0.22
1.0178899308647567,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.9,1.0,0.0,0.1,0.22
1.3944870702802186,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.9,1.0,0.0,0.1,0.2
1.910416961809082,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.9,1.0,0.0,0.1,0.18
2.617229693807378,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.92,1.0,0.0,0.1,0.28
3.5855477663161643,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.92,1.0,0.0,0.1,0.26
4.9121224686368725,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.98,0.0,1.0,1.0,0.88,1.0,0.0,0.1,0.28
6.729500963161782,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.88,1.0,0.0,0.1,0.24
9.219269980001625,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.98,0.0,1.0,1.0,0.94,1.0,0.0,0.1,0.28
12.630199390628402,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.98,0.0,1.0,1.0,0.94,1.0,0.0,0.12,0.22
17.303098509216408,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.98,0.0,1.0,1.0,0.94,1.0,0.0,0.12,0.22
