penalty,delta_cpu_ns,delta_cycles,delta_instructions,delta_cache_misses,delta_branch_instructions,delta_io_bytes,delta_net_send_bytes,context_switches,syscall_count,delta_rss_memory,syscall_class_file,syscall_class_network,syscall_class_memory,syscall_class_process,syscall_class_other,syscall_class_sched,syscall_class_signal,syscall_class_time
0.001,0.0,1.0,1.0,1.0,1.0,0.2,1.0,0.0,0.0,1.0,0.82,0.96,1.0,1.0,1.0,0.62,0.04,0.66
0.0012470887085309788,0.0,1.0,1.0,1.0,1.0,0.12,1.0,0.0,0.0,1.0,0.82,0.96,1.0,1.0,1.0,0.62,0.04,0.7
0.0015552302469454661,0.0,1.0,1.0,1.0,1.0,0.06,1.0,0.0,0.0,1.0,0.84,0.94,1.0,1.0,1.0,0.62,0.04,0.64
0.0019395100801315368,0.0,1.0,1.0,1.0,1.0,0.18,1.0,0.0,0.0,1.0,0.82,0.94,1.0,1.0,1.0,0.62,0.06,0.7
0.002418741121014056,0.0,1.0,1.0,1.0,1.0,0.16,1.0,0.0,0.0,1.0,0.82,0.94,1.0,1.0,1.0,0.64,0.04,0.64
0.0030163847408761907,0.0,1.0,1.0,1.0,1.0,0.16,1.0,0.0,0.0,1.0,0.82,0.94,1.0,1.0,1.0,0.62,0.04,0.62
0.00376169935093184,0.0,1.0,1.0,1.0,1.0,0.1,1.0,0.0,0.0,1.0,0.84,0.92,1.0,1.0,1.0,0.62,0.04,0.58
0.004691172785435414,0.0,1.0,1.0,1.0,1.0,0.12,1.0,0.0,0.0,1.0,0.84,0.92,1.0,1.0,1.0,0.62,0.06,0.58
0.005850308610484332,0.0,1.0,1.0,1.0,1.0,0.08,1.0,0.0,0.0,1.0,0.84,0.92,1.0,1.0,1.0,0.64,0.04,0.56
0.00729585380955657,0.0,1.0,1.0,1.0,1.0,0.12,1.0,0.0,0.0,1.0,0.84,0.92,1.0,1.0,1.0,0.62,0.04,0.6
0.009098576904990725,0.0,1.0,1.0,1.0,1.0,0.1,1.0,0.0,0.0,1.0,0.84,0.94,1.0,1.0,1.0,0.62,0.04,0.5
0.011346732521914685,0.0,1.0,1.0,1.0,1.0,0.08,1.0,0.0,0.0,1.0,0.84,0.94,1.0,1.0,1.0,0.62,0.04,0.54
0.01415038200680104,0.0,1.0,1.0,1.0,1.0,0.1,1.0,0.0,0.0,1.0,0.82,0.98,1.0,1.0,1.0,0.62,0.04,0.52
0.01764678162208152,0.0,1.0,1.0,1.0,1.0,0.04,1.0,0.0,0.0,1.0,0.82,0.92,1.0,1.0,1.0,0.64,0.04,0.48
0.022007102102809865,0.0,1.0,1.0,1.0,1.0,0.04,1.0,0.0,0.0,1.0,0.82,0.92,1.0,1.0,1.0,0.64,0.04,0.5
0.027444808539902558,0.0,1.0,1.0,1.0,1.0,0.04,1.0,0.0,0.0,1.0,0.82,0.92,1.0,1.0,1.0,0.62,0.04,0.48
0.034226110837907074,0.0,1.0,1.0,1.0,1.0,0.02,1.0,0.0,0.0,1.0,0.82,0.92,1.0,1.0,1.0,0.62,0.04,0.46
0.04268299636288369,0.0,1.0,1.0,1.0,1.0,0.1,1.0,0.0,0.0,1.0,0.84,0.92,1.0,1.0,1.0,0.62,0.04,0.48
0.053229482810421114,0.0,1.0,1.0,1.0,1.0,0.08,1.0,0.0,0.0,1.0,0.8,0.92,1.0,1.0,1.0,0.62,0.04,0.5
0.06638188697382004,0.0,1.0,1.0,1.0,1.0,0.04,1.0,0.0,0.0,1.0,0.82,0.94,1.0,1.0,1.0,0.62,0.04,0.48
0.08278410169603068,0.0,1.0,1.0,1.0,1.0,0.06,1.0,0.0,0.0,1.0,0.82,0.94,1.0,1.0,1.0,0.62,0.04,0.52
0.10323911847100012,0.0,1.0,1.0,1.0,1.0,0.04,1.0,0.0,0.0,1.0,0.84,0.9,1.0,1.0,1.0,0.62,0.04,0.44
0.12874833892387638,0.0,1.0,1.0,1.0,1.0,0.02,1.0,0.0,0.0,1.0,0.84,0.9,1.0,1.0,1.0,0.62,0.04,0.46
0.16056059971408576,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.84,0.9,1.0,1.0,1.0,0.62,0.04,0.4
0.20023331093839866,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.84,0.92,1.0,1.0,1.0,0.62,0.04,0.38
0.24970870114304974,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.84,0.9,1.0,1.0,1.0,0.62,0.04,0.4
0.31140890161743406,0.0,1.0,1.0,1.0,1.0,0.02,1.0,0.0,0.0,1.0,0.82,0.9,1.0,1.0,1.0,0.62,0.04,0.48
0.3883545249431369,0.0,1.0,1.0,1.0,1.0,0.04,1.0,0.0,0.0,1.0,0.82,0.9,1.0,1.0,1.0,0.62,0.04,0.46
0.48431254296349835,0.0,1.0,1.0,1.0,1.0,0.04,1.0,0.0,0.0,1.0,0.82,0.9,1.0,1.0,1.0,0.64,0.04,0.48
0.603980703729704,0.0,1.0,1.0,1.0,1.0,0.04,1.0,0.0,0.0,1.0,0.82,0.92,1.0,1.0,1.0,0.64,0.04,0.48
0.7532175157919083,0.0,1.0,1.0,1.0,1.0,0.02,1.0,0.0,0.0,1.0,0.82,0.92,1.0,1.0,1.0,0.64,0.04,0.5
0.9393290590118439,0.0,1.0,1.0,1.0,1.0,0.04,1.0,0.0,0.0,1.0,0.82,0.92,1.0,1.0,1.0,0.62,0.04,0.48
1.1714266630887,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.82,0.92,1.0,1.0,1.0,0.62,0.04,0.42
1.460872964410041,0.0,1.0,1.0,1.0,1.0,0.02,1.0,0.0,0.0,1.0,0.82,0.9,1.0,1.0,1.0,0.62,0.04,0.48
1.8218381785139426,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.84,0.94,1.0,1.0,1.0,0.62,0.04,0.42
2.2719938211953834,0.0,1.0,1.0,1.0,1.0,0.04,1.0,0.0,0.0,1.0,0.82,0.9,1.0,1.0,1.0,0.62,0.04,0.48
2.8333778402649172,0.0,1.0,1.0,1.0,1.0,0.02,1.0,0.0,0.0,1.0,0.84,0.9,1.0,1.0,1.0,0.62,0.04,0.46
3.5334735115962697,0.0,1.0,1.0,1.0,1.0,0.02,1.0,0.0,0.0,1.0,0.82,0.92,1.0,1.0,1.0,0.66,0.04,0.54
4.4065549182050185,0.0,1.0,1.0,1.0,1.0,0.02,1.0,0.0,0.0,1.0,0.82,0.94,1.0,1.0,1.0,0.62,0.04,0.48
5.49536488201513,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.84,0.94,1.0,1.0,1.0,0.62,0.04,0.52
6.853207493618751,0.0,1.0,1.0,1.0,1.0,0.02,1.0,0.0,0.0,1.0,0.84,0.92,1.0,1.0,1.0,0.62,0.04,0.38
8.546557682511834,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.86,0.94,1.0,1.0,1.0,0.62,0.04,0.4
10.658315582669198,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.86,0.92,1.0,1.0,1.0,0.62,0.04,0.4
13.291865015106536,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.86,0.92,1.0,1.0,1.0,0.62,0.04,0.38
16.576134775657344,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.86,0.94,1.0,1.0,1.0,0.62,0.04,0.4
20.671910509809962,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.84,0.92,1.0,1.0,1.0,0.64,0.06,0.36
25.779706180546874,0.0,1.0,1.0,1.0,1.0,0.02,1.0,0.0,0.0,1.0,0.84,0.94,1.0,1.0,1.0,0.64,0.08,0.38
32.1495804870063,0.0,1.0,1.0,1.0,1.0,0.02,1.0,0.0,0.0,1.0,0.84,0.92,1.0,1.0,1.0,0.66,0.06,0.48
40.09337880935344,0.0,1.0,1.0,1.0,1.0,0.02,1.0,0.0,0.0,1.0,0.88,0.94,1.0,1.0,1.0,0.64,0.06,0.42
49.99999999999999,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.86,0.92,1.0,1.0,1.0,0.62,0.04,0.3
