penalty,r2,mae_pct,delta_cpu_ns,delta_cycles,delta_instructions,delta_cache_misses,delta_branch_instructions,delta_io_bytes,delta_net_send_bytes,context_switches,syscall_count,delta_rss_memory,syscall_class_file,syscall_class_network,syscall_class_memory,syscall_class_process,syscall_class_other,syscall_class_sched,syscall_class_signal,syscall_class_time
0.001,0.7569981962778114,4.220085394736444,2.597907513732594e-07,7.483395947561556e-07,412.4656408741419,198.19067153217875,109.33337701694529,17.891054665503425,1.8073229445769993e-07,2.8591810590350973e-07,1.8851010441096084e-07,8.715274944475413,2.541815699724824e-07,39.37726263459642,62.6517599291049,19.225470732927082,66.63870586124796,2.530025920216584e-07,1.6650084784704215e-06,4.099709905117995e-05
0.0013699782540294108,0.756998198718527,4.220085364042503,1.6271678032560678e-07,5.093412198685492e-07,412.4656408697144,198.19067091600695,109.33337724113652,17.891051974842924,1.2774126875889316e-07,2.227769153468709e-07,1.0762484511043232e-07,8.71524388775318,1.9670284110039873e-07,39.37726604712539,62.651756527613344,19.225447504691683,66.63870565822562,1.795463817590467e-07,1.0518952959437902e-06,2.1946625864441967e-05
0.0018768404165134748,0.7569982045861623,4.220085335287454,1.2191248755598423e-07,4.1026464093967137e-07,412.4656401703362,198.190670212977,109.33337741747049,17.891048847000057,1.0597168186718652e-07,1.9774180285514855e-07,7.327735150253968e-08,8.715212571043214,1.7383540996560477e-07,39.37725847749627,62.65175183115907,19.2254182052616,66.6387051915821,1.4939938531833327e-07,7.939800354903332e-07,1.371599377284652e-05
0.0025712305569069623,0.7569982145125436,4.220085310735758,1.6187690623408594e-07,5.382001343289244e-07,412.4656384702341,198.1906693980861,109.33337750331519,17.891045247682264,1.386164811859689e-07,2.560201775302981e-07,9.889078630707595e-08,8.71518226243155,2.2523222755783945e-07,39.3772372118363,62.65174536346327,19.22538102358412,66.63870434585246,1.952228829738896e-07,1.0513331278283914e-06,1.8844812818799485e-05
0.0035225299490584732,0.7569982267275794,4.220085260600552,1.1654151663123018e-07,4.066688058479952e-07,412.46563691514405,198.19066822243087,109.33337781232831,17.891039649799485,1.0673545342235228e-07,2.0509147071694346e-07,6.626192058816754e-08,8.715134994293296,1.799888366492711e-07,39.37721762238818,62.65173657869575,19.225325795314834,66.63870339978105,1.505818531991922e-07,7.592290025160394e-07,1.1594125542552158e-05
0.004825789429377437,0.756998244100606,4.220085191523725,5.752920294062948e-08,2.1123648056337304e-07,412.46563478517504,198.19066663320214,109.33337825899268,17.891031809432594,5.636870979439503e-08,1.1236683675314642e-07,3.004591174505828e-08,8.715071852266988,9.839012144719463e-08,39.37718876373596,62.65172456261605,19.22524941078479,66.63870211282806,7.970236147412576e-08,3.769479428150371e-07,4.686469520299811e-06
0.006611226576772087,0.7569982687503661,4.2200851038606135,1.9522893076813042e-08,6.40665258939925e-08,412.46563153113635,198.19066449680147,109.33337879392629,17.89102135801541,1.6393971895926745e-08,2.993342080191458e-08,1.2135294234571624e-08,8.714988707984222,2.635102327213772e-08,39.37714442301917,62.65170806212223,19.225146702808523,66.63870025569828,2.30791359858494e-08,1.2529479152193076e-07,2.31929761149926e-06
0.009057236642639072,0.7569983021107216,4.220084990482836,7.976472542861746e-09,2.569591699591696e-08,412.46562676977686,198.19066156192753,109.33337943562874,17.891007281897878,6.523241202272993e-09,1.1709679561716457e-08,5.079426821879535e-09,8.714875702391954,1.0319382798431999e-08,39.377082577738655,62.65168544702586,19.225007107072674,66.63869763788995,9.1759038538414e-09,5.077711860832237e-08,9.862099636712158e-07
0.012408217242013879,0.7569983478191026,4.220084837276907,5.625012797504346e-09,2.0399388597337432e-08,412.4656201472939,198.19065755243074,109.3333802889684,17.89098809473651,5.409930268333501e-09,1.0690544648001895e-08,3.003319307406435e-09,8.714722268512206,9.365200598338604e-09,39.37699704689235,62.651654474400445,19.22481609896617,66.63869402640738,7.648983487374394e-09,3.659788306543513e-08,4.823334885184557e-07
0.01699898779283181,0.7569984107468758,4.220084629975588,2.0390450330317525e-08,6.402755659946602e-08,412.4656109415024,198.19065208716344,109.33338143221769,17.89096189535923,1.6015232104073015e-08,2.803815257153629e-08,1.3415705478451159e-08,8.714514518754159,2.474635376159056e-08,39.376877977999015,62.65161204436908,19.224554748046938,66.63868904531115,2.2520184355765245e-08,1.2893825089533417e-07,2.6790201734797035e-06
0.023288243616691007,0.7569984966423373,4.220084343106051,2.0234963472940717e-08,6.54636316110019e-08,412.4655984758918,198.19064457147354,109.33338302724975,17.890925905786887,1.6291812272027342e-08,2.934032621647124e-08,1.2889234804455368e-08,8.714227229673847,2.5827714527112874e-08,39.376716884740134,62.651553910732225,19.224196418595987,66.63868225773105,2.3050532850397702e-08,1.3088317620544477e-07,2.579121515614303e-06
0.03190438732940591,0.7569986143045632,4.220083950050648,1.9689271630072653e-08,6.80503004684013e-08,412.46558139987496,198.19063427387468,109.33338521244687,17.89087660100316,1.6574231170762098e-08,3.1608766397284036e-08,1.1618551558809564e-08,8.713833562114901,2.7665939597881523e-08,39.37649623090592,62.65147426962389,19.2237054676989,66.63867295962721,2.3834585754875248e-08,1.3458140370467115e-07,2.3779188460103665e-06
0.043708316849417596,0.7569987755499095,4.2200834118304575,2.058622148599373e-08,7.504227997269988e-08,412.46555799478625,198.19062016783533,109.33338820350934,17.890809070807943,1.7818098786469538e-08,3.548840100318911e-08,1.1349465019971573e-08,8.71329436010773,3.092144225975962e-08,39.37619370585235,62.651365162401575,19.22303296267664,66.63866021760822,2.6013592299776795e-08,1.4744581558010698e-07,2.4502142822149014e-06
0.059879443603929425,0.756998996610009,4.2200826757415975,2.839665872828303e-08,1.0382820077315346e-07,412.4655258659103,198.19060085897434,109.33339228715288,17.890716628853934,2.3487133530893087e-08,4.7094010211812104e-08,1.583788794734612e-08,8.712556838671084,4.0929795552025626e-08,39.37577836312925,62.651215679492054,19.22211209001795,66.63864274257041,3.480667206287992e-08,2.1383489651041044e-07,3.872762159124389e-06
0.0820335356007638,0.7569992990244213,4.220081662634712,1.4307556712659936e-08,5.847531212452167e-08,412.46548208057374,198.19057437695602,109.33339793738193,17.890589774078467,1.3378611342073012e-08,2.9035371450578436e-08,6.542503676534581e-09,8.71154416149426,2.5103612848211332e-08,39.37521215549591,62.65101091664171,19.220849034968804,66.63861886389277,2.0064752948548944e-08,1.1249263171630494e-07,1.6308281827753308e-06
0.11238415987419402,0.7569997135925677,4.220080276829531,7.657580941381325e-09,3.31079166801314e-08,412.46542198956723,198.19053811246218,109.33340565557026,17.89041605586803,7.2884476182544096e-09,1.649317056183097e-08,3.1493953240964686e-09,8.710158055436072,1.419736143721964e-08,39.374434903168385,62.65073038712465,19.219119277898564,66.63858612323318,1.1145557546464463e-08,6.328027003536603e-08,8.848323127326754e-07
0.15396385512501048,0.7570002815807011,4.220078379889307,7.069841620417284e-09,3.134049008748414e-08,412.4653395883441,198.19048843863,109.33341620946527,17.890178132415382,6.3095868741953784e-09,1.4861091810611789e-08,2.868502207881239e-09,8.708259773336223,1.2718956495161335e-08,39.37336934150657,62.65034606198461,19.216749941962977,66.63854124956137,9.97606139687108e-09,6.306205254417355e-08,1.0070591399217474e-06
0.21092713342779904,0.7570010596283072,4.22007578074867,4.816856624351114e-09,2.158758039117034e-08,412.46522672034934,198.19042038271607,109.33343067277768,17.88985216351065,3.769431180039674e-09,9.410413579077804e-09,2.053538647189891e-09,8.705658912739763,7.987561936590283e-09,39.37190977133187,62.649819545506915,19.21350389036169,66.63847977817476,6.284312181984201e-09,4.5123029104364087e-08,8.331383917549529e-07
0.288965585980845,0.7570021254148159,4.220072220135194,2.9839945741227158e-09,1.3142144052939398e-08,412.46507208728946,198.190327144966,109.33345048483167,17.8894055952444,1.9073354137905276e-09,5.092398969909113e-09,1.451310725936616e-09,8.70209568510752,4.277997882759152e-09,39.369910216290926,62.64909822744713,19.209056876563245,66.63839556214971,3.4091631081276004e-09,2.662830979270244e-08,5.486055846000758e-07
0.3958765689566236,0.7570035855344361,4.220067360153726,8.961240451189566e-08,4.96253286785704e-07,412.4648592670695,198.19019949772928,109.33347738003621,17.888794441095015,7.515723497125322e-08,2.190263737426567e-07,2.1124567623408887e-08,8.697223205104647,1.8307755440115413e-07,39.367163245585296,62.648110077690696,19.20296795185601,66.6382799897319,1.3618669443896866e-07,9.049541487458089e-07,1.3139910328058895e-05
0.5423422907503493,0.7570055855695798,4.220060681841519,1.0281634090422981e-07,5.795414164251877e-07,412.464568802236,198.19002453329713,109.33351448082108,17.88795692306487,7.452386387308567e-08,2.3605295446958122e-07,2.756917883694206e-08,8.690537705095805,1.9530441619225982e-07,39.363408408351305,62.64675623910513,19.194624949716513,66.63812184941462,1.45250451902232e-07,1.00293807893964e-06,1.5748646382155604e-05
0.7429971445684748,0.757008324135545,4.22005151568987,3.8002767340126717e-08,2.812424829392498e-07,412.46417179346076,198.1897847450832,109.33356557991362,17.88680809196778,3.083356765494428e-08,1.1772487076853816e-07,-2.3508716844118693e-09,8.681371127177515,9.612168983825341e-08,39.35827194392109,62.64490159530158,19.183186892019066,66.6379054563097,6.728168671575481e-08,4.967321175315997e-07,6.864552422947326e-06
1.0178899308647567,0.7570120753596343,4.220038970395008,1.4126421435442805e-08,1.6785617123300103e-07,412.4636272335077,198.1894563218518,109.33363540990307,17.885234947593858,6.138584727586342e-09,5.745598519424116e-08,-9.758456719793504e-09,8.668819270663011,4.518277362911032e-08,39.3512290521013,62.64236073434353,19.167521793556116,66.63760883390685,2.8944447265580147e-08,2.9850946960857546e-07,4.726290990680953e-06
1.3944870702802186,0.7570172119301637,4.2200219097206055,4.2308102544766385e-09,3.576416477750848e-08,412.46288116761747,198.18900635136214,109.33373106526952,17.883079679616785,1.2266332894771022e-09,3.053408921389389e-09,-2.019554467947741e-09,8.65162163147623,2.4853488256553867e-09,39.341580601837556,62.63887978254132,19.146060481129204,66.63720245423482,-1.5091796074280869e-09,6.58204564556376e-08,1.40687999314551e-06
1.910416961809082,0.7570242447612718,4.219998604414307,1.8570856569017885e-09,2.1773261375759823e-08,412.46185874942796,198.1883899380395,109.33386201725551,17.8801274235801,-2.920925516261592e-10,2.22003802456536e-09,-2.10941176001279e-09,8.628064594513797,1.733973749261949e-09,39.32836015582078,62.634110978424516,19.11666092613707,66.63664565710249,-7.218191494549767e-10,4.220747035480996e-08,8.595493192219537e-07
2.617229693807378,0.7570338736055625,4.219966697013342,7.980925459031245e-08,6.020372107952461e-07,412.4604567325396,198.18754571504235,109.33404109439226,17.8760843448078,3.1413423884071306e-08,1.7037907492861678e-07,-2.1680844853258494e-08,8.59581184202026,1.3565025152733125e-07,39.31023448446751,62.62757793073772,19.0763910581344,66.63588259378982,5.8295578280576956e-08,1.1655611614321813e-06,2.2101434983787458e-05
3.5855477663161643,0.7570470452875958,4.219922939687527,1.3211047140199504e-08,8.214185567520513e-08,412.4585389217745,198.18638862548647,109.33428715145205,17.870542145503652,6.609439051571676e-09,2.986545362218058e-08,5.91392793986419e-10,8.551585210293112,2.8764441772709486e-08,39.28543367947671,62.618627580270484,19.021206150233947,66.63483779718881,1.8905096841642906e-08,1.5119131831697385e-07,2.7631949895374894e-06
4.9121224686368725,0.7570650645875379,4.219863016350144,4.411827535456459e-09,5.626884881987774e-08,412.4559100358491,198.18480369764436,109.33462385740724,17.862951256281537,-7.017192056073696e-10,1.472547773424746e-08,-4.79708348911838e-09,8.491015667040113,1.59681430984977e-08,39.25144068492508,62.60636589982969,18.94561315266239,66.63340614396108,1.2668126454083913e-08,1.062956551750001e-07,1.7780403825784482e-06
