penalty,r2,mae_pct,delta_cpu_ns,delta_cycles,delta_instructions,delta_cache_misses,delta_branch_instructions,delta_io_bytes,delta_net_send_bytes,context_switches,syscall_count,delta_rss_memory,syscall_class_file,syscall_class_network,syscall_class_memory,syscall_class_process,syscall_class_other,syscall_class_sched,syscall_class_signal,syscall_class_time
0.001,0.26564647152012333,6.139891049014983,1.9822351414603952e-07,349.0596968177137,60.77683185616837,622.772106925646,242.38575007676923,7.139509639798081e-06,136.31200288222078,1.321356567835608e-07,4.7125468089899405e-07,158.37372005906514,5.254608217771036,114.91479935514366,156.85557517079172,356.35010228013914,274.25026558234526,1.0743248324401452e-05,3.556786208037207e-07,2.979601294029386e-05
0.0012470887085309788,0.26564650689039004,6.139890964992311,7.181250806516809e-07,349.05969309074123,60.77683483295165,622.7721055351767,242.3857550460785,2.6137516008158352e-05,136.31199591325958,4.77009658534203e-07,1.709689189928902e-06,158.37370863470045,5.254610204678573,114.91479211951078,156.85557375888854,356.35006248963043,274.2502674616548,3.166493582657487e-05,1.284869851791486e-06,0.00010976551947140754
0.0015552302469454661,0.26564650552991553,6.139890950854698,7.08238052778269e-07,349.05969409788065,60.776834401361356,622.7721050398208,242.38575426177374,2.5209673154930613e-05,136.31199778894606,4.7175637147232225e-07,1.7139581167609726e-06,158.37368850775655,5.25461052225305,114.91478290941477,156.85557048292114,356.35002484635817,274.25026372543573,2.968625087845873e-05,1.3303143610099582e-06,0.00010316872563654549
0.0019395100801315368,0.26564649077005353,6.139890960075913,4.1136753344220113e-07,349.0596982480687,60.776832128892195,622.7721044511105,242.38575084467675,1.524673884287095e-05,136.31200357615575,2.7259956758313407e-07,9.685671989166433e-07,158.3736605081892,5.254609894246196,114.9147697212139,156.85556554008565,356.3499828392608,274.2502573597014,1.8523189943661032e-05,7.107125388417314e-07,6.550946976071046e-05
0.002418741121014056,0.26564649700872867,6.139890922281459,4.2741145313222594e-07,349.0597002014332,60.77683160215091,622.7721030556269,242.38575045777964,1.5940385436762703e-05,136.3120048458208,2.8310695167690734e-07,1.0015786980220433e-06,158.3736289931029,5.254610250711965,114.91475432210834,156.85556025320565,356.34992357790395,274.25025277198756,2.0178802446677562e-05,7.280477652738855e-07,6.916670932868794e-05
0.0030163847408761907,0.26564651700439035,6.1398908495633995,4.961519972286537e-07,349.0597016183521,60.77683194779932,622.7721008113638,242.38575170869257,1.985916656249909e-05,136.3120040647912,3.2547944253523145e-07,1.1018485489718878e-06,158.37358979360184,5.25461062137453,114.91473332200736,156.85555369485914,356.3498486006966,274.2502488988572,2.867547788522077e-05,7.051635915250345e-07,9.299085695475045e-05
0.00376169935093184,0.26564663564610747,6.139890577554267,1.3621078200743253e-06,349.05969635946155,60.776838541033676,622.7720949330695,242.3857662019739,5.154957290895808e-05,136.31198220812627,9.019140481360896e-07,3.138537018921952e-06,158.3735510995843,5.254616675031227,114.91470378098259,156.85554760157925,356.34973493693514,274.2502570714193,9.569045222261636e-05,2.207362459869419e-06,0.00023051837748619644
0.004691172785435414,0.26564658609356795,6.1398906264102,9.104744201308387e-07,349.05970449669536,60.776833374112435,622.7720946335543,242.38575719182967,3.270085012978647e-05,136.311997440765,6.074399063077404e-07,2.1728362607655683e-06,158.3734885709044,5.2546158195477854,114.91468104385149,156.8555370512735,356.34962867419915,274.25023960960675,6.431965092577226e-05,1.6514340633889577e-06,0.00013854319729984186
0.005850308610484332,0.2656465411771962,6.139890646662995,5.918911756593947e-07,349.0597095132456,60.77683013639626,622.7720942773469,242.38574935069957,1.9197090814615542e-05,136.31201335563532,4.001654982419245e-07,1.502541554091249e-06,158.37340783899475,5.2546138617106335,114.9146479408581,156.85552400914693,356.3494978539876,274.2502203273875,3.221293712606119e-05,1.285096338416105e-06,7.100421940231932e-05
0.00729585380955657,0.2656466450463434,6.1398903632043185,1.1347002231121745e-06,349.0597095951542,60.77683435414137,622.7720869054348,242.3857599910065,4.235176335460206e-05,136.31199866650235,7.526396539752128e-07,2.6519277826625595e-06,158.37331863516866,5.254618673099048,114.91459914685392,156.85550931391268,356.34930112153825,274.25021868087987,8.816075310620755e-05,1.9243897477465045e-06,0.0001871454091070398
